,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,"('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')","('New Orleans Pelicans', 1610612740, 'NOP')"
1,"('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('New Orleans Hornets', 1610612740, 'NOH')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')","('Detroit Pistons', 1610612765, 'DET')"
2,"('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Orlando Magic', 1610612753, 'ORL')","('Indiana Pacers', 1610612754, 'IND')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')","('Denver Nuggets', 1610612743, 'DEN')"
3,"('Toronto Raptors', 1610612761, 'TOR')","('Orlando Magic', 1610612753, 'ORL')","('Toronto Raptors', 1610612761, 'TOR')","('Orlando Magic', 1610612753, 'ORL')","('Toronto Raptors', 1610612761, 'TOR')","('Orlando Magic', 1610612753, 'ORL')","('Indiana Pacers', 1610612754, 'IND')","('Toronto Raptors', 1610612761, 'TOR')","('Indiana Pacers', 1610612754, 'IND')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Indiana Pacers', 1610612754, 'IND')","('Orlando Magic', 1610612753, 'ORL')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')"
4,"('Portland Trail Blazers', 1610612757, 'POR')","('Toronto Raptors', 1610612761, 'TOR')","('Orlando Magic', 1610612753, 'ORL')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Indiana Pacers', 1610612754, 'IND')","('Toronto Raptors', 1610612761, 'TOR')","('Indiana Pacers', 1610612754, 'IND')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Indiana Pacers', 1610612754, 'IND')","('Orlando Magic', 1610612753, 'ORL')","('Orlando Magic', 1610612753, 'ORL')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Orlando Magic', 1610612753, 'ORL')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')"
5,"('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Orlando Magic', 1610612753, 'ORL')","('Portland Trail Blazers', 1610612757, 'POR')","('Orlando Magic', 1610612753, 'ORL')","('Portland Trail Blazers', 1610612757, 'POR')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Toronto Raptors', 1610612761, 'TOR')"
6,"('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Toronto Raptors', 1610612761, 'TOR')","('Phoenix Suns', 1610612756, 'PHX')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Orlando Magic', 1610612753, 'ORL')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Toronto Raptors', 1610612761, 'TOR')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')","('Philadelphia 76ers', 1610612755, 'PHI')"
7,"('Orlando Magic', 1610612753, 'ORL')","('Portland Trail Blazers', 1610612757, 'POR')","('Portland Trail Blazers', 1610612757, 'POR')","('Phoenix Suns', 1610612756, 'PHX')","('Philadelphia 76ers', 1610612755, 'PHI')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Philadelphia 76ers', 1610612755, 'PHI')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')","('Phoenix Suns', 1610612756, 'PHX')"
8,"('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Toronto Raptors', 1610612761, 'TOR')","('Portland Trail Blazers', 1610612757, 'POR')","('Philadelphia 76ers', 1610612755, 'PHI')","('Utah Jazz', 1610612762, 'UTA')","('Miami Heat', 1610612748, 'MIA')","('Phoenix Suns', 1610612756, 'PHX')","('Indiana Pacers', 1610612754, 'IND')","('Indiana Pacers', 1610612754, 'IND')","('Orlando Magic', 1610612753, 'ORL')","('Indiana Pacers', 1610612754, 'IND')","('Orlando Magic', 1610612753, 'ORL')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Toronto Raptors', 1610612761, 'TOR')","('Portland Trail Blazers', 1610612757, 'POR')"
9,"('Miami Heat', 1610612748, 'MIA')","('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')"
10,"('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')"
11,"('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Miami Heat', 1610612748, 'MIA')","('Utah Jazz', 1610612762, 'UTA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Utah Jazz', 1610612762, 'UTA')","('Miami Heat', 1610612748, 'MIA')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')","('Chicago Bulls', 1610612741, 'CHI')"
12,"('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')","('New York Knicks', 1610612752, 'NYK')"
13,"('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')","('Dallas Mavericks', 1610612742, 'DAL')"
14,"('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('New Jersey Nets', 1610612751, 'NJN')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')","('Milwaukee Bucks', 1610612749, 'MIL')"
